#,I / O,FOB,FOB_newpairs,Serial Number,Re-pairing status,OK,Notes
191,_In,191_In,,1B0000005AAA8221,,x,Working 
191,_Out,191_Out,,B00000005AC12B21,,x,Working 
192,_In,192_In,,A50000005ACAF321,,x,Working 
192,_Out,192_Out,,EC0000005AAD3A21,,x,Working 
193,_In,193_In,,2B0000005AAF4E21,,x,Working 
193,_Out,193_Out,,F10000005AA92921,,x,Working 
194,_In,194_In,,910000005ACC3221,,x,Working 
194,_Out,194_Out,,770000005ABD5521,,x,Working 
195,_In,195_In,,110000005ACD8F21,,x,Working 
195,_Out,195_Out,,430000005AA0FE21,,x,Working 
196,_In,196_In,,650000005ABFEC21,,x,Working 
196,_Out,196_Out,,970000005AAF3121,,x,Working 
197,_In,197_In,,A90000005AB3DC21,,x,Working 
197,_Out,197_Out,,000000005AA8F221,,x,Working 
198,_In,198_In,,A80000005AA2C921,,x,Working 
198,_Out,198_Out,,820000005AB11D21,,x,Working 
199,_In,199_In,,9F0000005AC7A821,,,Never returned to us 
199,_Out,199_Out,,C90000005AB3A721,,,Never returned to us 
200,_In,200_In,,A10000005AC8E721,,x,Working 
200,_Out,200_Out,,050000005AB9C121,,x,Working 
201,_In,201_In,,700000005ACE5A21,,x,Working 
201,_Out,201_Out,,FD0000005AC6D921,,x,Working 
202,_In,202_In,,D10000005AA90021,,x,needs re-pairing
202,_Out,202_Out,,920000005AA01521,,x,needs re-pairing
203,_In,203_In,,0C0000005AA14921,,x,Working 
203,_Out,203_Out,,930000005ABF9E21,,x,Working 
204,_In,204_In,,780000005AB10521,,x,Working 
204,_Out,204_Out,,220000005AA32B21,,x,Working 
205,_In,205_In,,940000005ABC0521,,x,Working 
205,_Out,205_Out,,C20000005AB14F21,,x,Working 
206,_In,206_In,,7D0000005A9F3321,,x,Working 
206,_Out,206_Out,,B50000005AD01821,,x,Working 
207,_In,207_In,,FC0000005AC8C221,,x,Working 
207,_Out,207_Out,,E80000005A9D9E21,,x,Working 
208,_In,208_In,,A30000005AB5D521,,x,Working 
208,_Out,208_Out,,E30000005AC72121,,x,Working 
209,_In,209_In,,E10000005ACEE321,,x,Working 
209,_Out,209_Out,,FF0000005AAC2D21,,x,Working 
210,_In,210_In,,580000005AAA4621,,x,Working 
210,_Out,210_Out,,220000005A9D3721,,x,Working 
211,_In,211_In,,700000005ABBB321,,x,Working 
211,_Out,211_Out,,BA0000005ABE6721,,x,Working 
212,_In,212_In,,950000005AD12821,,x,Working 
212,_Out,212_Out,,170000005AA8DA21,,x,Working 
213,_In,213_In,,690000005AD10521,,x,Working 
213,_Out,213_Out,,150000005AD09521,,x,Working 
214,_In,214_In,,A90000005ACCCF21,,x,Working 
214,_Out,214_Out,,AB0000005AB3CF21,,x,Working 
215,_In,215_In,,8E0000005ABA9421,,x,Working 
215,_Out,215_Out,,980000005ACDE221,,x,Working 
216,_In,216_In,,0D0000005A9FD021,,x,Working 
216,_Out,216_Out,,850000005A9E2121,,x,Working 
217,_In,217_In,,F10000005AC82D21,,x,Working 
217,_Out,217_Out,,6C0000005AA67D21,,x,Working 
218,_In,218_In,,8F0000005AD0F621,,x,Working 
218,_Out,218_Out,,E50000005AAED821,,x,Working 
219,_In,219_In,,280000005AAFD821,,x,Working 
219,_Out,219_Out,,4F0000005ACC2521,,x,Working 
220,_In,220_In,,980000005A9F4F21,,x,Working 
220,_Out,220_Out,,3B0000005AB79721,,x,Working 
221,_In,221_In,,7C0000005AC86621,,x,Working 
221,_Out,221_Out,,310000005ABF0021,,x,Working 
222,_In,222_In,,C60000005AA0F921,,x,Working 
222,_Out,222_Out,,520000005ACD4B21,,,Battery dead
223,_In,223_In,,D40000005AB49F21,re-paired,x,Working; completely chewed apart unpaired ibutton
223,_Out,223_Out,,090000005AA1EA21,,x,Working 
224,_In,224_In,,A70000005AACAB21,,x,Working 
224,_Out,224_Out,,AA0000005AAC4421,,x,Working 
225,_In,225_In,,4A0000005AD0A321,,x,Working 
225,_Out,225_Out,,E60000005AAC7C21,,x,Working 
226,_In,226_In,,6F0000005AA6EB21,,x,Working 
226,_Out,226_Out,,0C0000005AB4BD21,,x,Working 
227,_In,227_In,,2E0000005AA25821,,x,Working 
227,_Out,227_Out,,EA0000005AA0BA21,,x,Working 
228,_In,228_In,,C80000005ABBEA21,,x,Working; minimal chewing 
228,_Out,228_Out,,890000005AB79121,,x,Working 
229,_In,229_In,,D00000005AC53421,,x,Working 
229,_Out,229_Out,,CE0000005ABBDF21,,x,Working 
230,_In,230_In,,0D0000005ACC6421,,x,Working 
230,_Out,230_Out,,280000005AC88A21,,x,Working 
231,_In,231_In,,760000005A9DDB21,,x,Working 
231,_Out,231_Out,,270000005AA0A321,,x,Working 
232,_In,232_In,,6F0000005AC5DD21,,x,Working 
232,_Out,232_Out,,C50000005ABF6121,,x,Working 
233,_In,233_In,,D30000005A9EDE21,,x,Working 
233,_Out,233_Out,,FB0000005ACF3D21,,x,Working 
234,_In,234_In,,B60000005AB85B21,,x,Working 
234,_Out,234_Out,,090000005AC93F21,,x,Working 
235,_In,235_In,,380000005AAE5921,,x,Working ; chewed about halfway through
235,_Out,235_Out,,2B0000005ABDF521,,x,Working 
236,_In,236_In,,460000005AC70F21,,x,Working ; minimal chewing 
236,_Out,236_Out,,F70000005AA91C21,,x,Working 
237,_In,237_In,,B40000005AA65F21,,x,Working 
237,_Out,237_Out,,DF0000005AA6FE21,,x,Working 
238,_In,238_In,,370000005ABD0721,,x,Working 
238,_Out,238_Out,,500000005ACF6A21,,x,Working 
239,_In,239_In,,3F0000005AC9BB21,,x,Working 
239,_Out,239_Out,,980000005ABC6F21,,x,Working 
240,_In,240_In,,640000005AC07A21,,x,Working 
240,_Out,240_Out,,E60000005ACC6121,,x,Working 
241,_In,241_In,,850000005AC30B21,,x,Working 
241,_Out,241_Out,,A50000005AC00921,,x,Working 
242,_In,242_In,,720000005A9DFD21,,x,Working 
242,_Out,242_Out,,FE0000005AB6DB21,,,Dead battery
243,_In,243_In,,6C0000005AB4C621,,x,Working 
243,_Out,243_Out,,350000005AAC8421,,x,Working 
244,_In,244_In,,7E0000005AC6EB21,,x,Working 
244,_Out,244_Out,,D20000005ACEC421,,,Dead battery
245,_In,245_In,,530000005AADD321,,x,Working 
245,_Out,245_Out,,860000005AB21021,,x,Working 
246,_In,246_In,,DC0000005AB0B721,,x,Working 
246,_Out,246_Out,,B20000005AC44521,,x,Working 
247,_In,247_In,,A00000005AAD0221,,x,Working 
247,_Out,247_Out,,980000005AB0C321,,x,Working 
248,_In,248_In,,2D0000005AB73A21,,x,Working 
248,_Out,248_Out,,350000005AC45121,,x,Working 
249,_In,249_In,,CA0000005AA94221,,x,Working 
249,_Out,249_Out,,B30000005AAF3E21,,x,Working 
250,_In,250_In,,C50000005ACFF521,,x,Working 
250,_Out,250_Out,,550000005AC70121,,x,Working 
251,_In,251_In,,120000005AAF3621,,x,Working 
251,_Out,251_Out,,CC0000005AA6F021,,x,Working 
252,_In,252_In,,100000005AA38921,,x,Working 
252,_Out,252_Out,,0E0000005AACEF21,,x,Working 
253,_In,253_In,,640000005AB2DC21,,x,needs re-pairing
253,_Out,253_Out,,6E0000005AA31321,,x,needs re-pairing
254,_In,254_In,,840000005ACF2221,,x,Working 
254,_Out,254_Out,,B50000005AD10121,,x,Working 
255,_In,255_In,,820000005ACD2521,,x,Working 
255,_Out,255_Out,,AA0000005AB8A921,,x,Working 
256,_In,256_In,,9B0000005AB60321,,x,Working 
256,_Out,256_Out,,710000005AC61721,,x,Working 
257,_In,257_In,,BD0000005AC0DD21,,x,Working 
257,_Out,257_Out,,0F0000005AB42B21,,x,Working 
258,_In,258_In,,FF0000005AA5FC21,,x,Working 
258,_Out,258_Out,,4D0000005AA19E21,,x,Working 
259,_In,259_In,,EC0000005AC6C421,,x,Working; chewed almost all the way
259,_Out,259_Out,,E80000005AC5C921,,x,Working 
260,_In,260_In,,D40000005ACDDA21,re-paired,x,Working; completely chewed apart unpaired ibutton
260,_Out,260_Out,,150000005AB6DE21,re-paired,x,Working; completely chewed apart unpaired ibutton
261,_In,261_In,,2B0000005AD05D21,,x,Working 
261,_Out,261_Out,,C30000005AC36C21,,x,Working 
262,_In,262_In,,FB0000005AC6EC21,,x,Working 
262,_Out,262_Out,,3D0000005AADD121,,x,Working 
263,_In,263_In,,350000005A9D1F21,,x,Working 
263,_Out,263_Out,,740000005AA58221,,x,Working 
264,_In,264_In,,A00000005AA1AE21,,x,Working; chewed about halfway
264,_Out,264_Out,,1B0000005AB7BE21,,x,Working 
265,_In,265_In,,B50000005AAC2021,,x,Working 
265,_Out,265_Out,,430000005AA1E721,,x,Working 
266,_In,266_In,,E90000005AB6F321,,x,Working 
266,_Out,266_Out,,C90000005ABA7621,,x,Working 
267,_In,267_In,,5B0000005AAAD021,,x,Working 
267,_Out,267_Out,,260000005ABF2821,,x,Working 
268,_In,268_In,,FF0000005AB23A21,,x,Working 
268,_Out,268_Out,,4C0000005AC33421,,x,Working 
269,_In,269_In,,900000005AAAFC21,,x,Working 
269,_Out,269_Out,,000000005AC13E21,,x,Working 
270,_In,270_In,,CD0000005AAD9621,,x,Working 
270,_Out,270_Out,,010000005A9D8821,,x,Working 
271,_In,271_In,,730000005AC89A21,re-paired,x,needs re-pairing
271,_Out,271_Out,,D30000005AAC6E21,re-paired,x,needs re-pairing
272,_In,272_In,,BA0000005AA24221,re-paired,x,Working; completely chewed apart unpaired ibutton
272,_Out,272_Out,,7A0000005AA19F21,re-paired,x,Working; completely chewed apart unpaired ibutton
273,_In,273_In,,B30000005AB77F21,,x,Working 
273,_Out,273_Out,,6B0000005AD00F21,,x,Working 
274,_In,274_In,,550000005ACDFB21,re-paired,x,Working; completely chewed apart unpaired ibutton
274,_Out,274_Out,,790000005AA56D21,re-paired,x,Working; completely chewed apart unpaired ibutton
275,_In,275_In,,D10000005AAF5621,,x,Working 
275,_Out,275_Out,,030000005AC0B121,,x,Working 
276,_In,276_In,,A70000005ABA7421,,x,Working 
276,_Out,276_Out,,FD0000005AA6C421,,x,Working 
277,_In,277_In,,DF0000005AAB4B21,,x,Working 
277,_Out,277_Out,,9F0000005ACB0421,,x,Working 
278,_In,278_In,,980000005ACEC921,,x,Working 
278,_Out,278_Out,,5F0000005AA74321,,x,Working 
279,_In,279_In,,A50000005AC57421,,x,Working 
279,_Out,279_Out,,E10000005AA34B21,,x,Working 
280,_In,280_In,,110000005ACFBD21,,x,Needs re-pairing
280,_Out,280_Out,,960000005ACC8221,,x,Needs re-pairing
281,_In,281_In,,F20000005ACB9021,,,Dead battery
281,_Out,281_Out,,2B0000005AB42421,,x,Working 
282,_In,282_In,,FC0000005AB5E321,,x,Working 
282,_Out,282_Out,,340000005AB76B21,,x,Working 
283,_In,283_In,,040000005A9F1921,,x,Working 
283,_Out,283_Out,,3A0000005AA1CD21,,x,Working 
284,_In,284_In,,8D0000005ACFEB21,,x,Working 
284,_Out,284_Out,,D50000005AC48E21,,x,Working 
285,_In,285_In,,700000005AA81121,,x,Working 
285,_Out,285_Out,,980000005AC71821,,x,Working 
286,_In,286_In,,D10000005AD15C21,,x,Working 
286,_Out,286_Out,,600000005AA61721,,x,Working 
287,_In,287_In,,370000005AC21421,,x,Working 
287,_Out,287_Out,,740000005AC93321,,x,Working 
288,_In,288_In,,000000005AA31121,,x,Working 
288,_Out,288_Out,,2D0000005AA49821,,x,Working 
289,_In,289_In,,D10000005AB14121,,x,Needs re-pairing
289,_Out,289_Out,,860000005AD03F21,,x,Needs re-pairing
290,_In,290_In,,6E0000005AC8ED21,,x,Working 
290,_Out,290_Out,,610000005ACD6C21,,x,Working 
291,_In,291_In,,B90000005AC1E221,,x,Working; minimal chewing 
291,_Out,291_Out,,B20000005ACADB21,,x,Working 
292,_In,292_In,,AF0000005AAAB121,,x,Working 
292,_Out,292_Out,,F20000005A9F6B21,,x,Working 
293,_In,293_In,,970000005AC97A21,,x,Working 
293,_Out,293_Out,,120000005AA1A821,,x,Working 
294,_In,294_In,,860000005ACD0321,,x,Working 
294,_Out,294_Out,,6D0000005AAC0221,,x,Working 
295,_In,295_In,,690000005AA95921,,x,Working; minimal chewing 
295,_Out,295_Out,,C70000005AB92421,,x,Working 
296,_In,296_In,,3F0000005AB49A21,Needs re-pairing,x,Working 
296,_Out,296_Out,,120000005AA87921,,x,Dead battery
297,_In,297_In,,580000005AD13121,,x,Working 
297,_Out,297_Out,,880000005ABFDC21,,x,Working 
298,_In,298_In,,1A0000005AA1E421,,x,Working; almost chewed apart 
298,_Out,298_Out,,3F0000005AB6A821,,x,Working 
299,_In,299_In,,090000005A9DC421,,x,Working 
299,_Out,299_Out,,AD0000005AB79E21,,x,Working 
300,_In,300_In,,A80000005AA49F21,,x,Working
300,_Out,300_Out,,DC0000005ABE2921,,x,Working
301,_In,301_In,,260000005ABC0321,,x,Working
301,_Out,301_Out,,6A0000005AA22C21,,x,Working
302,_In,302_In,,EF0000005ACF8321,,x,Working
302,_Out,302_Out,,D30000005AAB2121,,x,Working
303,_In,303_In,,B30000005AD13421,,x,Working
303,_Out,303_Out,,290000005AC4A321,,x,Working
304,_In,304_In,,900000005A9F0321,,x,Working
304,_Out,304_Out,,970000005AB20D21,,x,Working
305,_In,305_In,,3D0000005AB48921,,x,Working
305,_Out,305_Out,,490000005AB76721,,x,Working
306,_In,306_In,,760000005AA3C721,,,Not working; will not be recognized by 1-wire 
306,_Out,306_Out,N12_In,600000005AC52121,re-paired with 534_out,x,Working 
307,_In,307_In,,2F0000005AB63021,,x,Working
307,_Out,307_Out,,E20000005AD06221,,x,Working
308,_In,308_In,,9F0000005ABB9021,,x,Working
308,_Out,308_Out,,A10000005AA12B21,,x,Working
309,_In,309_In,,FD0000005A9F9721,,x,Working; almost chewed apart
309,_Out,309_Out,,A40000005ACC2021,,x,Working
310,_In,310_In,,FF0000005AB65E21,,x,Working
310,_Out,310_Out,,330000005AD08921,,x,Working
311,_In,311_In,,380000005ACF5D21,,x,Working
311,_Out,311_Out,,550000005AAFD421,,x,Working
312,_In,312_In,,0B0000005AB9B821,,x,Working
312,_Out,312_Out,,240000005AB4D821,,x,Working
313,_In,313_In,,DC0000005AC21121,,x,Working; almost chewed apart
313,_Out,313_Out,,DC0000005AB4D321,,x,Working
314,_In,314_In,,7D0000005AC30021,,x,Working; minimal chewing 
314,_Out,314_Out,,D40000005AA35921,,x,Working
315,_In,315_In,,E40000005ACC7221,,x,Working
315,_Out,315_Out,,A20000005ABFAA21,,x,Working
316,_In,316_In,,0E0000005A9E5F21,,x,Working
316,_Out,316_Out,,CC0000005AA4C221,,x,Working
317,_In,317_In,,620000005ACCE321,,x,Working
317,_Out,317_Out,,D70000005AC6AF21,,x,Working
318,_In,318_In,,0A0000005AA34E21,,x,Working
318,_Out,318_Out,,B60000005ACBE421,,x,Working
319,_In,319_In,,350000005ACD8021,,x,Working
319,_Out,319_Out,,FF0000005AA19821,,x,Working
320,_In,320_In,,760000005AB17C21,,x,Working
320,_Out,320_Out,,990000005AB70921,,x,Working
321,_In,321_In,,F50000005ABFD021,,x,Working
321,_Out,321_Out,,3E0000005AB16221,,x,Working
322,_In,322_In,,770000005ACFF321,,x,Working
322,_Out,322_Out,,8E0000005ABEF021,,x,Working
323,_In,323_In,,DD0000005ACC0A21,,x,Working
323,_Out,323_Out,,A40000005AB8D021,,x,Working
324,_In,324_In,,180000005AAA1421,re-paired,x,Working; completely chewed apart unpaired ibutton
324,_Out,324_Out,,810000005AA56621,re-paired,x,Working; completely chewed apart unpaired ibutton
325,_In,325_In,,970000005AC4CF21,,x,Working
325,_Out,325_Out,,EA0000005ACA5D21,,x,Working
326,_In,326_In,,700000005AB98121,,x,Working
326,_Out,326_Out,,520000005ABCC621,,x,Working
327,_In,327_In,,8D0000005AA8B921,,x,Working
327,_Out,327_Out,,8A0000005A9FC421,,x,Working
328,_In,328_In,,280000005ABF5121,,x,Working
328,_Out,328_Out,,A60000005ACC3321,,x,Working
329,_In,329_In,,A10000005ABE2521,,x,Working
329,_Out,329_Out,,DF0000005AC39E21,,x,Working
330,_In,330_In,,640000005AA9B621,,x,Working
330,_Out,330_Out,,C60000005AA58421,,x,Working
331,_In,331_In,,D10000005AC5B121,,x,Working
331,_Out,331_Out,,B00000005AB4C221,,x,Working
332,_In,332_In,,D30000005A9CEC21,,x,Working
332,_Out,332_Out,,4C0000005AA23021,,x,Working
333,_In,333_In,,820000005ACA6A21,,x,Working; chewed about halfway 
333,_Out,333_Out,,4D0000005AA5FA21,,x,Working
334,_In,334_In,,C30000005AAAA021,,x,Working
334,_Out,334_Out,,A30000005ABB4B21,,x,Working
335,_In,335_In,,270000005AB21821,re-paired,x,Working; completely chewed apart unpaired ibutton
335,_Out,335_Out,,CF0000005ACC8121,re-paired,x,Working; completely chewed apart unpaired ibutton
336,_In,336_In,,530000005AC16221,,x,Working
336,_Out,336_Out,,2A0000005ACAAB21,,x,Working
337,_In,337_In,,440000005ACBB021,,x,Working
337,_Out,337_Out,,A30000005AC20E21,,x,Working
338,_In,338_In,,250000005A9D8721,,x,Working
338,_Out,338_Out,,D60000005AAFE621,,x,Working
339,_In,339_In,,500000005AA7BF21,,x,Working
339,_Out,339_Out,,F30000005AB06221,,x,Working
340,_In,340_In,,250000005AA6E621,,x,Working
340,_Out,340_Out,,A70000005ABB6D21,,x,Working
341,_In,341_In,,5F0000005AA46821,,x,Working; almost half chewed 
341,_Out,341_Out,,F00000005AB92521,,x,Working
342,_In,342_In,,F80000005AC02C21,,x,Working
342,_Out,342_Out,,960000005AB1A321,,x,Working
343,_In,343_In,,110000005AB1B721,,x,Working
343,_Out,343_Out,,5B0000005ABB4021,,x,Working
344,_In,344_In,,1A0000005AC6B621,,x,Working
344,_Out,344_Out,,9C0000005A9F6921,,x,Working
345,_In,345_In,,F00000005ACDD521,,x,Working
345,_Out,345_Out,,250000005AB77621,,x,Working
346,_In,346_In,,FB0000005AB44A21,,x,Working
346,_Out,346_Out,,650000005ABA9121,,x,Working
347,_In,347_In,,F90000005ACE3721,,x,Working 
347,_Out,347_Out,,DA0000005AC9C721,,x,Working 
348,_In,348_In,,540000005AB89721,,x,Working
348,_Out,348_Out,,390000005AB69D21,,x,Working
349,_In,349_In,,A40000005AC95D21,,x,Working
349,_Out,349_Out,,880000005ACC6321,,x,Working
350,_In,350_In,,CE0000005AA87D21,,x,Working
350,_Out,350_Out,,380000005A9EDB21,,x,Working
351,_In,351_In,,620000005AAECC21,,x,Working
351,_Out,351_Out,,D40000005AB83321,,x,Working
352,_In,352_In,,160000005ACE1421,,x,Working; minimal chewing 
352,_Out,352_Out,,F30000005AAB0821,,x,Working
353,_In,353_In,,B30000005ABFB721,,x,Working; minimal chewing 
353,_Out,353_Out,,B60000005AA47E21,,x,Working
354,_In,354_In,,F00000005AA73221,,x,Working
354,_Out,354_Out,,450000005ACB3521,,x,Working
355,_In,355_In,,010000005A9FBA21,,x,Working
355,_Out,355_Out,,530000005AA9B721,,x,Working
356,_In,356_In,,EC0000005AC94321,,x,Working
356,_Out,356_Out,,F30000005ACC5A21,,x,Working
357,_In,357_In,,250000005AAF3721,,x,Working
357,_Out,357_Out,,670000005AC3C721,,x,Working
358,_In,358_In,,BA0000005AC63B21,,x,Working
358,_Out,358_Out,,6B0000005AC95721,,x,Working
359,_In,359_In,,4B0000005AA39921,,x,Working
359,_Out,359_Out,,F40000005AA98A21,,x,Working
360,_In,360_In,,C50000005AB0E621,,x,Working
360,_Out,360_Out,,430000005AB8BF21,,x,Working
361,_In,361_In,,9F0000005AC1FE21,,x,Working
361,_Out,361_Out,,1E0000005AB89A21,,x,Working
362,_In,362_In,,BE0000005AA52B21,,x,Working; minimal chewing 
362,_Out,362_Out,,340000005AB9F521,,x,Working
363,_In,363_In,,110000005A9E3B21,,x,Working
363,_Out,363_Out,,330000005AA75221,,x,Working
364,_In,364_In,,BD0000005AB53421,,x,Working
364,_Out,364_Out,,440000005A9E5221,,x,Working
365,_In,365_In,,670000005AC2DE21,,x,Working
365,_Out,365_Out,,340000005AAB4E21,,x,Working
366,_In,366_In,,730000005AA99E21,,x,Working
366,_Out,366_Out,,EE0000005AB9C421,,x,Working
367,_In,367_In,,6B0000005ABF9521,,x,Working
367,_Out,367_Out,,870000005AB6F121,,x,Working
368,_In,368_In,,230000005A9DB221,,x,Working
368,_Out,368_Out,,1E0000005ACF4121,,x,Working
369,_In,369_In,,C90000005ACE8621,,x,Working
369,_Out,369_Out,,BE0000005ABB3C21,,x,Working
370,_In,370_In,,470000005ABDE421,,x,Working
370,_Out,370_Out,,130000005A9D0321,,x,Working
371,_In,371_In,,BC0000005AA70A21,,x,Working
371,_Out,371_Out,,760000005ABB8621,,x,Working
372,_In,372_In,,DB0000005AC5EE21,,x,Working
372,_Out,372_Out,,AD0000005ACBA621,,x,Working
373,_In,373_In,,6F0000005AC0A021,re-paired,x,Working; completely chewed apart unpaired ibutton
373,_Out,373_Out,,770000005ABF6721,re-paired,x,Working; completely chewed apart unpaired ibutton
374,_In,374_In,,C70000005ACA9B21,,x,Working
374,_Out,374_Out,,B90000005ABCC321,,x,Working
375,_In,375_In,,060000005AA9DE21,,x,Working
375,_Out,375_Out,,750000005AB3D821,,x,Working
376,_In,376_In,,0C0000005AB1C021,,x,Working
376,_Out,376_Out,,A00000005ACE3421,,x,Working
377,_In,377_In,,390000005ACAA521,,x,Working
377,_Out,377_Out,,970000005AAA4C21,,x,Working
378,_In,378_In,,920000005AA22721,,x,Working
378,_Out,378_Out,,0F0000005AAD7321,,x,Working
379,_In,379_In,,4F0000005ACD3C21,,x,Working
379,_Out,379_Out,,100000005AAD1721,,x,Working
380,_In,380_In,,A80000005AC7A921,,x,Working
380,_Out,380_Out,,E80000005AB76F21,,x,Working
381,_In,381_In,,5B0000005AC12E21,,x,Working
381,_Out,381_Out,,D10000005AD04521,,x,Working
